Part Number,Type,Diameter,Length,Material,Finish
ML6340000A20000,Split Lock Washer,M4,-,Stainless Steel,Plain
MW6340000A20000,General Purpose Flat Washer,M4,-,Stainless Steel,Plain
MN2530000A20000,Hex Nut,M4-0.7,-,Stainless Steel,Plain
MS2530008A20000,Socket Cap Screw,M4-0.7,8mm,Stainless Steel,Plain
MS2530010A20000,Socket Cap Screw,M4-0.7,10mm,Stainless Steel,Plain
MS2530012A20000,Socket Cap Screw,M4-0.7,12mm,Stainless Steel,Plain
MS2530014A20000,Socket Cap Screw,M4-0.7,14mm,Stainless Steel,Plain
MS2530016A20000,Socket Cap Screw,M4-0.7,16mm,Stainless Steel,Plain
MS2530020A20000,Socket Cap Screw,M4-0.7,20mm,Stainless Steel,Plain
MS2530025A20000,Socket Cap Screw,M4-0.7,25mm,Stainless Steel,Plain
MS2530030A20000,Socket Cap Screw,M4-0.7,30mm,Stainless Steel,Plain
MS2530035A20000,Socket Cap Screw,M4-0.7,35mm,Stainless Steel,Plain
70980,Acorn Nut,"1/4""-28",-,Stainless Steel,Plain
77942,Coupling Nut,"1/4""-20","7/8""",Stainless Steel,Plain
MS2540090A20000,Socket Cap Screw,M5-0.8,90mm,Stainless Steel,Plain
MS2540065A20000,Socket Cap Screw,M5-0.8,65mm,Stainless Steel,Plain
MS2540050A20000,Socket Cap Screw,M5-0.8,50mm,Stainless Steel,Plain
MS2540040A20000,Socket Cap Screw,M5-0.8,40mm,Stainless Steel,Plain
MS2540035A20000,Socket Cap Screw,M5-0.8,35mm,Stainless Steel,Plain
MS2540030A20000,Socket Cap Screw,M5-0.8,30mm,Stainless Steel,Plain
MS2540025A20000,Socket Cap Screw,M5-0.8,25mm,Stainless Steel,Plain
163741,Socket Cap Screw,M5-0.8,22mm,Stainless Steel,Plain
MS2540020A20000,Socket Cap Screw,M5-0.8,20mm,Stainless Steel,Plain
MS2540020A20000,Socket Cap Screw,M5-0.8,20mm,Stainless Steel,Plain
MS2540012A20000,Socket Cap Screw,M5-0.8,12mm,Stainless Steel,Plain
MS2540010A20000,Socket Cap Screw,M5-0.8,10mm,Stainless Steel,Plain
MS2540008A20000,Socket Cap Screw,M5-0.8,8mm,Stainless Steel,Plain
MS2540006A20000,Socket Cap Screw,M5-0.8,6mm,Stainless Steel,Plain
MN2540000A20000,Hex Nut,M5-0.8,-,Stainless Steel,Plain
MW6350000A20000,General Purpose Flat Washer,M5,-,Stainless Steel,Plain
ML6350000A20000,Split Lock Washer,M5,-,Stainless Steel,Plain
110752,Fender Washer,M5,-,Stainless Steel,Plain
WC6360000A20000,Fender Washer,M6,-,Stainless Steel,Plain
ML6360000A20000,Split Lock Washer,M6,-,Stainless Steel,Plain
MW6360000A20000,General Purpose Flat Washer,M6,-,Stainless Steel,Plain
MN2550000A20000,Hex Nut,M6-1.0,-,Stainless Steel,Plain
MS2550008A20000,Socket Cap Screw,M6-1.0,8mm,Stainless Steel,Plain
MS2550010A20000,Socket Cap Screw,M6-1.0,10mm,Stainless Steel,Plain
MS2550012A20000,Socket Cap Screw,M6-1.0,12mm,Stainless Steel,Plain
MS2550016A20000,Socket Cap Screw,M6-1.0,16mm,Stainless Steel,Plain
MS2550020A20000,Socket Cap Screw,M6-1.0,20mm,Stainless Steel,Plain
MS2550025A20000,Socket Cap Screw,M6-1.0,25mm,Stainless Steel,Plain
MS2550030A20000,Socket Cap Screw,M6-1.0,30mm,Stainless Steel,Plain
MS2550035A20000,Socket Cap Screw,M6-1.0,35mm,Stainless Steel,Plain
MS2550040A20000,Socket Cap Screw,M6-1.0,40mm,Stainless Steel,Plain
MS2550045A20000,Socket Cap Screw,M6-1.0,45mm,Stainless Steel,Plain
MS2550050A20000,Socket Cap Screw,M6-1.0,50mm,Stainless Steel,Plain
MS2550060A20000,Socket Cap Screw,M6-1.0,60mm,Stainless Steel,Plain
MS2550065A20000,Socket Cap Screw,M6-1.0,65mm,Stainless Steel,Plain
MS2550080A20000,Socket Cap Screw,M6-1.0,80mm,Stainless Steel,Plain
MS2550090A20000,Socket Cap Screw,M6-1.0,90mm,Stainless Steel,Plain
1170960,Acorn Nut,"1/4""-20",-,Stainless Steel,Plain
73264,Socket Set Screw,"1/4""-20","1-1/2""",Stainless Steel,Plain
73265,Socket Set Screw,"1/4""-20","1-3/4""",Stainless Steel,Plain
MS2580060A20000,Socket Cap Screw,M8-1.25,60mm,Stainless Steel,Plain
MS2580050A20000,Socket Cap Screw,M8-1.25,50mm,Stainless Steel,Plain
MS2580045A20000,Socket Cap Screw,M8-1.25,45mm,Stainless Steel,Plain
MS2580040A20000,Socket Cap Screw,M8-1.25,40mm,Stainless Steel,Plain
MS2580035A20000,Socket Cap Screw,M8-1.25,35mm,Stainless Steel,Plain
MS2580030A20000,Socket Cap Screw,M8-1.25,30mm,Stainless Steel,Plain
MS2580025A20000,Socket Cap Screw,M8-1.25,25mm,Stainless Steel,Plain
MS2580020A20000,Socket Cap Screw,M8-1.25,20mm,Stainless Steel,Plain
MS2580016A20000,Socket Cap Screw,M8-1.25,16mm,Stainless Steel,Plain
MS2580012A20000,Socket Cap Screw,M8-1.25,12mm,Stainless Steel,Plain
MN2580000A20000,Hex Nut,M8-1.25,-,Stainless Steel,Plain
MW6380000A20000,General Purpose Flat Washer,M8,-,Stainless Steel,Plain
ML6380000A20000,Split Lock Washer,M8,-,Stainless Steel,Plain
WC6380000A20000,Fender Washer,M8,-,Stainless Steel,Plain
WC6400000A20000,Fender Washer,M10,-,Stainless Steel,Plain
ML6400000A20000,Split Lock Washer,M10,-,Stainless Steel,Plain
